VCD info: dumpfile parking_tb.vcd opened for output.
Time: 280 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 3 | Parked Car: 0 | Uni Vacated Space: 497 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 285 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 2 | Parked Car: 0 | Uni Vacated Space: 498 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 290 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 2 | Parked Car: 0 | Uni Vacated Space: 498 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 295 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 3 | Parked Car: 0 | Uni Vacated Space: 497 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 300 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 3 | Parked Car: 0 | Uni Vacated Space: 497 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 305 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 4 | Parked Car: 0 | Uni Vacated Space: 496 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 310 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 0 | Uni Car Exited: 1 | Uni Parked Car: 4 | Parked Car: 0 | Uni Vacated Space: 496 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 315 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 0 | Uni Car Exited: 1 | Uni Parked Car: 5 | Parked Car: 0 | Uni Vacated Space: 495 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 320 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 5 | Parked Car: 0 | Uni Vacated Space: 495 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 325 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 6 | Parked Car: 0 | Uni Vacated Space: 494 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 330 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 6 | Parked Car: 0 | Uni Vacated Space: 494 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 340 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 6 | Parked Car: 0 | Uni Vacated Space: 494 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 345 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 5 | Parked Car: 0 | Uni Vacated Space: 495 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 350 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 5 | Parked Car: 0 | Uni Vacated Space: 495 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 370 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 1 | Car Exited: 0 | Uni Car Exited: 1 | Uni Parked Car: 5 | Parked Car: 0 | Uni Vacated Space: 495 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 380 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 5 | Parked Car: 0 | Uni Vacated Space: 495 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 385 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 5 | Parked Car: 0 | Uni Vacated Space: 495 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 390 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 0 | Uni Car Exited: 1 | Uni Parked Car: 5 | Parked Car: 0 | Uni Vacated Space: 495 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 400 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 5 | Parked Car: 0 | Uni Vacated Space: 495 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 405 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 4 | Parked Car: 0 | Uni Vacated Space: 496 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 410 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 0 | Uni Car Exited: 1 | Uni Parked Car: 4 | Parked Car: 0 | Uni Vacated Space: 496 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 420 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 0 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 4 | Parked Car: 0 | Uni Vacated Space: 496 | Vacated Space: 200 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 425 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 0 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 4 | Parked Car: 1 | Uni Vacated Space: 496 | Vacated Space: 199 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 430 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 4 | Parked Car: 1 | Uni Vacated Space: 496 | Vacated Space: 199 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 435 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 5 | Parked Car: 1 | Uni Vacated Space: 495 | Vacated Space: 199 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 440 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 1 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 5 | Parked Car: 1 | Uni Vacated Space: 495 | Vacated Space: 199 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 450 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 0 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 5 | Parked Car: 1 | Uni Vacated Space: 495 | Vacated Space: 199 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 455 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 0 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 5 | Parked Car: 2 | Uni Vacated Space: 495 | Vacated Space: 198 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 460 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 5 | Parked Car: 2 | Uni Vacated Space: 495 | Vacated Space: 198 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 465 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 4 | Parked Car: 3 | Uni Vacated Space: 496 | Vacated Space: 197 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 470 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 4 | Parked Car: 3 | Uni Vacated Space: 496 | Vacated Space: 197 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 480 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 0 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 4 | Parked Car: 3 | Uni Vacated Space: 496 | Vacated Space: 197 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 485 | Hour: 8 | Car Entered: 1 | Uni Car Entered: 0 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 4 | Parked Car: 4 | Uni Vacated Space: 496 | Vacated Space: 196 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 490 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 4 | Parked Car: 4 | Uni Vacated Space: 496 | Vacated Space: 196 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 495 | Hour: 8 | Car Entered: 0 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 3 | Parked Car: 4 | Uni Vacated Space: 497 | Vacated Space: 196 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 500 | Hour: 13 | Car Entered: 0 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 3 | Parked Car: 4 | Uni Vacated Space: 497 | Vacated Space: 196 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 505 | Hour: 13 | Car Entered: 0 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 2 | Parked Car: 4 | Uni Vacated Space: 448 | Vacated Space: 246 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 510 | Hour: 13 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 2 | Parked Car: 4 | Uni Vacated Space: 448 | Vacated Space: 246 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 515 | Hour: 13 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 1 | Parked Car: 4 | Uni Vacated Space: 449 | Vacated Space: 246 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 520 | Hour: 13 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 1 | Parked Car: 4 | Uni Vacated Space: 449 | Vacated Space: 246 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 525 | Hour: 13 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 2 | Parked Car: 3 | Uni Vacated Space: 448 | Vacated Space: 247 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 530 | Hour: 13 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 2 | Parked Car: 3 | Uni Vacated Space: 448 | Vacated Space: 247 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 535 | Hour: 13 | Car Entered: 1 | Uni Car Entered: 1 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 3 | Parked Car: 3 | Uni Vacated Space: 447 | Vacated Space: 247 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 540 | Hour: 13 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 3 | Parked Car: 3 | Uni Vacated Space: 447 | Vacated Space: 247 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 545 | Hour: 13 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 1 | Uni Parked Car: 2 | Parked Car: 3 | Uni Vacated Space: 448 | Vacated Space: 247 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 550 | Hour: 13 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 2 | Parked Car: 3 | Uni Vacated Space: 448 | Vacated Space: 247 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 555 | Hour: 13 | Car Entered: 0 | Uni Car Entered: 0 | Car Exited: 1 | Uni Car Exited: 0 | Uni Parked Car: 2 | Parked Car: 2 | Uni Vacated Space: 448 | Vacated Space: 248 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 560 | Hour: 13 | Car Entered: 0 | Uni Car Entered: 1 | Car Exited: 0 | Uni Car Exited: 0 | Uni Parked Car: 2 | Parked Car: 2 | Uni Vacated Space: 448 | Vacated Space: 248 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
Time: 570 | Hour: 13 | Car Entered: 1 | Uni Car Entered: 0 | Car Exited: 0 | Uni Car Exited: 1 | Uni Parked Car: 2 | Parked Car: 2 | Uni Vacated Space: 448 | Vacated Space: 248 | uni_is_vacated_space: 1 | is_vacated_space: 1 | Fault: 0
